date,city,houseType,status,numberRooms,numberBathrooms,numberKitchens,numberBalconies,elevator,carParking,heating,houseSpace,PriceType_JOD,PriceType_NIS,PriceType_USD,price
2020-02-05,RB,apartment,A,1,1,1,0,1,1,0,45.0,0,0,1,500
2020-02-05,T,apartment,A,2,2,1,0,0,0,0,100.0,0,1,0,180
2020-02-05,RB,apartment,B,3,2,1,0,1,1,1,150.0,0,0,1,500
2020-02-05,RB,apartment,B,3,3,1,1,1,1,0,124.0,0,0,1,500
2020-02-05,RB,apartment,B,6,2,1,1,0,0,0,190.0,0,0,1,1200
2020-02-05,B,apartment,A,2,1,1,0,0,1,0,140.0,0,1,0,1400
2020-02-05,RB,apartment,B,3,3,1,1,1,1,0,140.0,0,0,1,500
2020-02-05,JN,apartment,C,4,2,1,1,0,0,0,130.0,1,0,0,180
2020-02-05,RB,apartment,B,2,2,1,2,0,0,0,130.0,0,0,1,425
2020-02-05,N,apartment,B,3,2,1,1,1,1,0,150.0,1,0,0,3000
2020-02-05,N,apartment,B,3,2,1,0,1,0,0,200.0,1,0,0,2800
2020-02-05,RB,apartment,B,3,2,1,1,1,1,0,140.0,0,0,1,550
2020-02-05,RB,apartment,B,3,2,1,1,1,1,0,140.0,0,0,1,550
2020-02-05,RB,apartment,B,3,2,1,2,1,1,0,140.0,0,0,1,500
2020-02-05,RB,apartment,D,3,4,1,2,0,0,0,165.0,0,1,0,1500
2020-02-08,RB,apartment,B,3,2,1,1,1,1,0,127.0,0,0,1,550
2020-02-05,RB,apartment,A,3,2,1,1,1,1,0,140.0,0,0,1,600
2020-02-05,RB,apartment,A,3,3,1,1,1,1,0,140.0,0,0,1,650
2020-02-05,RB,apartment,B,3,2,1,1,0,1,0,150.0,0,0,1,450
2020-02-05,RB,apartment,B,3,3,1,0,1,1,1,150.0,0,0,1,500
2020-02-06,RB,apartment,B,2,1,1,1,0,1,0,120.0,0,1,0,1600
2020-02-05,RB,apartment,B,3,2,1,1,1,1,0,140.0,0,1,0,1500
2020-02-05,RB,apartment,A,3,2,1,1,1,1,0,160.0,0,0,1,700
2020-02-06,RB,apartment,B,3,3,1,1,1,1,0,140.0,0,0,1,550
2020-02-06,RB,apartment,B,3,1,1,1,0,0,0,130.0,0,1,0,800
2020-02-06,B,apartment,B,3,2,1,2,1,0,0,140.0,0,0,1,500
2020-02-06,RB,apartment,A,3,3,1,1,1,1,0,200.0,0,0,1,300
2020-02-06,RB,apartment,A,3,3,1,1,1,1,0,150.0,0,0,1,600
2020-02-06,B,apartment,A,3,2,1,2,0,1,1,180.0,0,0,1,1100
2020-02-06,RB,apartment,A,3,3,1,1,1,1,0,160.0,0,0,1,700
2020-02-06,N,apartment,C,3,2,1,3,1,0,0,144.0,1,0,0,3500
2020-02-06,RB,apartment,A,1,3,1,0,1,1,1,50.0,0,0,1,550
2020-02-11,RB,apartment,B,2,3,1,1,1,1,1,140.0,0,0,1,550
2020-02-06,RB,apartment,B,2,2,1,1,1,1,0,140.0,0,0,1,450
2020-02-06,RB,apartment,B,3,2,1,1,1,1,0,140.0,0,0,1,500
2020-02-06,RB,Roof,A,3,2,1,1,0,0,0,165.0,0,0,1,600
2020-02-06,RB,apartment,A,3,3,1,1,0,0,1,180.0,0,0,1,700
2020-02-06,RB,apartment,B,2,1,1,0,0,0,0,140.0,0,0,1,400
2020-02-06,RB,apartment,C,2,1,1,0,0,0,0,120.0,0,1,0,1000
2020-02-08,T,apartment,C,3,2,1,1,0,1,0,100.0,0,1,0,800
2020-02-06,RB,apartment,A,3,2,1,1,1,1,0,160.0,0,0,1,600
2020-02-06,RB,apartment,B,3,2,1,1,1,1,0,162.0,0,0,1,500
2020-02-06,RB,apartment,A,3,3,1,1,1,1,0,165.0,0,0,1,600
2020-02-06,RB,apartment,A,1,1,1,1,1,1,0,80.0,0,0,1,550
2020-02-06,RB,apartment,A,1,2,1,0,0,0,0,100.0,0,0,1,500
2020-02-06,RB,apartment,A,3,3,1,1,1,1,1,160.0,0,0,1,600
2020-02-08,RB,apartment,A,3,2,1,1,1,1,0,140.0,0,0,1,700
2020-02-06,RB,apartment,A,1,1,1,0,1,1,0,140.0,0,0,1,400
2020-02-16,RB,apartment,B,2,1,1,0,1,1,0,140.0,0,1,0,1100
2020-02-06,RB,apartment,B,2,2,1,1,0,0,0,140.0,0,0,1,400
2020-02-06,H,apartment,B,3,2,1,1,0,1,1,175.0,1,0,0,3500
2020-02-06,RB,apartment,A,3,2,1,1,1,1,0,123.0,0,1,0,2300
2020-02-06,N,apartment,A,3,2,1,0,0,0,0,140.0,0,1,0,1600
2020-02-08,B,apartment,B,3,2,1,1,0,0,0,150.0,0,1,0,1600
2020-02-08,RB,apartment,A,3,2,1,1,1,1,0,130.0,0,1,0,2500
2020-02-06,RB,apartment,A,2,1,1,1,0,0,0,140.0,0,0,1,350
2020-02-08,T,apartment,B,3,1,1,1,1,1,0,150.0,1,0,0,2600
2020-02-16,RB,apartment,A,2,1,1,1,1,1,0,80.0,0,1,0,2000
2020-02-19,JR,apartment,B,2,2,1,1,1,0,0,140.0,0,1,0,1800
2020-02-08,JR,apartment,B,3,3,1,0,1,0,0,165.0,0,1,0,2000
2020-02-08,N,apartment,A,1,1,1,1,1,1,0,140.0,0,1,0,600
2020-02-08,RB,apartment,A,2,2,2,0,1,1,0,140.0,0,0,1,600
2020-02-08,B,apartment,A,1,2,2,0,1,1,1,25.0,0,1,0,1000
2020-02-07,RB,apartment,A,2,2,2,1,1,1,1,110.0,0,1,0,800
2020-02-10,B,apartment,A,3,2,1,0,0,1,0,140.0,0,1,0,1400
2020-02-19,T,apartment,C,3,2,1,2,0,1,0,110.0,0,1,0,1000
2020-02-08,RB,apartment,B,1,1,1,1,0,1,0,80.0,0,1,0,1000
2020-02-08,RB,apartment,B,2,2,1,2,1,0,0,130.0,0,1,0,1100
2020-02-08,RB,apartment,B,3,3,1,1,1,1,0,150.0,0,0,1,500
2020-02-08,RB,apartment,B,3,2,1,1,1,1,0,140.0,0,0,1,500
2020-02-08,RB,apartment,A,2,2,1,1,1,1,0,120.0,0,0,1,600
2020-02-09,N,apartment,A,1,1,1,0,0,1,0,120.0,0,1,0,1100
2020-02-08,RB,apartment,A,3,2,1,2,0,0,0,140.0,0,1,0,1500
2020-02-08,N,Roof,A,2,1,1,2,0,1,0,140.0,0,1,0,600
2020-02-08,RB,apartment,B,3,2,1,1,1,1,0,140.0,0,0,1,500
2020-02-16,RB,apartment,A,1,1,1,1,1,1,1,70.0,0,0,1,550
2020-02-08,RB,apartment,B,2,2,1,1,1,1,0,140.0,0,0,1,450
2020-02-08,RB,apartment,B,2,2,1,1,1,1,0,140.0,0,0,1,450
2020-02-08,RB,Roof,A,2,1,1,1,1,1,0,140.0,0,0,1,600
2020-02-08,RB,apartment,A,1,1,0,1,1,1,0,16.0,0,1,0,1200
2020-02-08,JR,apartment,B,3,1,1,2,0,0,0,140.0,0,1,0,1200
2020-02-08,RB,apartment,A,3,2,1,1,1,1,0,140.0,0,0,1,700
2020-02-08,RB,apartment,B,3,2,1,1,1,1,0,160.0,0,0,1,600
2020-02-08,RB,apartment,A,1,2,1,1,0,1,0,16.0,0,1,0,550
2020-02-08,RB,apartment,A,3,3,1,1,1,1,0,150.0,0,0,1,550
2020-02-08,RB,apartment,A,2,2,1,1,0,1,1,140.0,0,0,1,500
2020-02-08,RB,apartment,A,3,2,1,1,1,1,1,165.0,0,0,1,700
2020-02-08,RB,apartment,A,2,2,1,1,1,1,1,145.0,0,0,1,650
2020-02-08,RB,apartment,A,3,2,1,1,0,0,0,155.0,0,1,0,600
2020-02-08,RB,apartment,A,1,2,1,0,0,0,0,100.0,0,0,1,500
2020-02-09,RB,apartment,B,3,2,1,2,0,0,0,180.0,0,1,0,1650
2020-02-09,RB,apartment,A,3,2,1,0,1,0,0,120.0,0,1,0,330
2020-02-19,RB,apartment,B,2,2,1,2,1,1,0,140.0,0,1,0,1100
2020-02-09,H,apartment,C,3,2,1,2,0,1,0,130.0,1,0,0,3500
2020-02-09,RB,apartment,A,3,2,1,1,1,1,1,150.0,0,0,1,600
2020-02-09,RB,apartment,B,3,3,1,2,1,1,0,172.0,0,0,1,650
2020-02-09,RB,apartment,A,1,1,1,0,1,1,0,140.0,0,0,1,400
2020-02-09,RB,apartment,A,1,1,1,0,1,1,0,140.0,0,0,1,400
