city,status,numberRooms,numberBathrooms,numberBalconies,houseSpace,elevator,carParking,heating,featurePlus,featurePlus2,Bldg_A,Bldg_B,MedstatusHouseSpace,city_encoded,priceUS
1,1,3,3,2,170.0,1,1,1,1.0,1.6666666666666667,2,0,100.0,1508.2965041390216,700.0
1,1,3,3,1,170.0,1,1,1,1.0,1.3333333333333333,1,0,100.0,1508.2965041390216,800.0
1,1,2,3,1,170.0,1,1,1,1.5,2.0,1,0,100.0,1508.2965041390216,1000.0
1,1,3,1,0,0.0,0,1,0,0.3333333333333333,0.3333333333333333,0,0,100.0,1508.2965041390216,135.0
1,2,3,3,1,0.0,1,1,1,1.0,1.3333333333333333,0,1,130.0,1508.2965041390216,600.0
1,2,2,2,1,110.0,0,0,0,1.0,1.5,0,1,130.0,1508.2965041390216,400.0
1,2,3,3,1,0.0,1,1,1,1.0,1.3333333333333333,0,1,130.0,1508.2965041390216,600.0
1,2,3,2,1,140.0,1,1,0,0.6666666666666666,1.0,0,1,130.0,1508.2965041390216,570.0
1,1,2,1,1,0.0,1,1,0,0.5,1.0,1,0,100.0,1508.2965041390216,600.0
1,2,3,3,0,150.0,1,1,0,1.0,1.0,0,0,130.0,1508.2965041390216,450.0
3,2,2,1,2,70.0,0,0,0,0.5,1.5,0,2,130.0,3107.09112274828,360.0
1,2,2,2,0,0.0,0,0,0,1.0,1.0,0,0,130.0,1508.2965041390216,120.0
1,2,3,2,1,140.0,1,1,0,0.6666666666666666,1.0,0,1,130.0,1508.2965041390216,500.0
1,1,1,2,0,0.0,1,1,1,2.0,2.0,0,0,100.0,1508.2965041390216,480.0
1,2,3,2,1,140.0,1,1,0,0.6666666666666666,1.0,0,1,130.0,1508.2965041390216,500.0
1,2,2,2,2,130.0,0,0,0,1.0,2.0,0,2,130.0,1508.2965041390216,450.0
1,1,3,3,1,150.0,1,1,0,1.0,1.3333333333333333,1,0,100.0,1508.2965041390216,600.0
2,3,3,1,1,120.0,1,1,0,0.3333333333333333,0.6666666666666666,0,0,130.0,2809.5507241955816,390.0
1,1,3,3,2,180.0,1,1,0,1.0,1.6666666666666667,2,0,100.0,1508.2965041390216,800.0
1,1,3,3,3,165.0,1,1,1,1.0,2.0,3,0,100.0,1508.2965041390216,800.0
4,1,3,2,1,0.0,0,0,0,0.6666666666666666,1.0,1,0,100.0,3749.991715220519,180.0
1,2,3,2,1,140.0,1,1,0,0.6666666666666666,1.0,0,1,130.0,1508.2965041390216,570.0
1,1,2,2,1,120.0,1,1,0,1.0,1.5,1,0,100.0,1508.2965041390216,500.0
1,2,3,2,1,0.0,1,1,0,0.6666666666666666,1.0,0,1,130.0,1508.2965041390216,500.0
1,1,3,3,1,160.0,1,1,1,1.0,1.3333333333333333,1,0,100.0,1508.2965041390216,800.0
1,1,2,1,1,120.0,0,1,0,0.5,1.0,1,0,100.0,1508.2965041390216,600.0
1,1,1,1,0,0.0,0,0,0,1.0,1.0,0,0,100.0,1508.2965041390216,350.0
1,1,2,2,1,120.0,1,1,0,1.0,1.5,1,0,100.0,1508.2965041390216,660.0
1,2,3,2,1,155.0,1,1,0,0.6666666666666666,1.0,0,1,130.0,1508.2965041390216,500.0
1,1,3,2,1,155.0,1,1,0,0.6666666666666666,1.0,1,0,100.0,1508.2965041390216,600.0
1,2,1,1,1,0.0,1,1,0,1.0,2.0,0,1,130.0,1508.2965041390216,270.0
1,1,3,1,0,90.0,1,0,0,0.3333333333333333,0.3333333333333333,0,0,100.0,1508.2965041390216,700.0
1,1,2,2,0,130.0,1,1,0,1.0,1.0,0,0,100.0,1508.2965041390216,500.0
1,2,3,1,0,280.0,0,0,0,0.3333333333333333,0.3333333333333333,0,0,130.0,1508.2965041390216,600.0
1,1,2,2,2,110.0,1,1,1,1.0,2.0,2,0,100.0,1508.2965041390216,800.0
4,1,2,2,1,90.0,0,0,0,1.0,1.5,1,0,100.0,3749.991715220519,720.0
1,1,1,1,0,45.0,1,1,0,1.0,1.0,0,0,100.0,1508.2965041390216,500.0
1,2,3,2,0,150.0,1,1,1,0.6666666666666666,0.6666666666666666,0,0,130.0,1508.2965041390216,500.0
1,2,3,3,1,124.0,1,1,0,1.0,1.3333333333333333,0,1,130.0,1508.2965041390216,500.0
3,1,2,1,0,140.0,0,1,0,0.5,0.5,0,0,100.0,3107.09112274828,420.0
1,2,3,3,1,140.0,1,1,0,1.0,1.3333333333333333,0,1,130.0,1508.2965041390216,500.0
