date,city,houseType,status,numberRooms,numberBathrooms,numberKitchens,numberBalconies,houseSpace,elevator,carParking,heating,priceUS
2020-02-12,T,apartment,B,4,3,1,1,135.0,1,0,0,375.0
2020-02-12,JR,apartment,B,3,3,2,3,150.0,0,0,0,390.0
2020-02-12,N,apartment,B,2,1,1,1,120.0,0,0,0,300.0
2020-02-12,RB,apartment,A,1,1,1,0,,1,0,0,500.0
2020-02-12,RB,apartment,B,3,3,1,0,,1,1,0,500.0
2020-02-12,RB,apartment,B,3,3,1,1,170.0,1,1,1,700.0
2020-02-12,RB,apartment,A,2,1,1,1,,0,0,0,105.0
2020-02-12,RB,apartment,B,2,1,1,1,170.0,0,0,0,540.0
2020-02-12,RB,apartment,A,3,3,1,1,150.0,1,1,1,600.0
2020-02-12,RB,apartment,A,1,1,1,1,85.0,1,1,1,500.0
2020-02-12,RB,apartment,B,3,2,1,5,220.0,0,1,1,600.0
2020-02-12,RB,apartment,B,5,2,1,1,170.0,1,1,0,600.0
2020-02-17,T,apartment,B,4,2,1,0,110.0,0,1,0,4500.0
2020-02-12,RB,apartment,A,3,2,1,1,150.0,1,1,0,630.0
2020-02-12,RB,apartment,A,1,1,1,1,,0,0,0,300.0
2020-02-12,RB,apartment,A,3,3,1,1,170.0,1,1,1,1150.0
2020-02-12,RB,apartment,A,3,3,1,1,170.0,1,1,1,850.0
2020-02-12,RB,apartment,A,3,2,1,1,,1,1,0,600.0
2020-02-12,RB,apartment,A,3,3,1,1,180.0,1,1,1,1100.0
2020-02-12,RB,apartment,A,3,3,1,1,150.0,1,1,0,650.0
2020-02-12,RB,apartment,A,3,2,1,1,140.0,1,1,0,700.0
2020-02-12,RB,apartment,A,3,2,1,1,150.0,1,1,0,550.0
2020-02-12,B,apartment,A,1,1,1,1,50.0,0,1,1,480.0
2020-02-12,RB,apartment,B,1,1,1,0,50.0,1,1,0,350.0
2020-02-12,RB,apartment,B,1,1,1,1,,1,1,0,270.0
2020-02-15,H,apartment,C,2,1,1,1,90.0,0,0,0,3807.0
2020-02-12,RB,apartment,A,3,3,1,1,150.0,1,1,1,800.0
2020-02-13,RB,apartment,A,3,3,1,1,170.0,1,1,1,700.0
2020-02-13,RB,apartment,B,3,2,1,1,130.0,0,0,0,420.0
2020-03-07,RB,apartment,B,3,2,1,1,110.0,0,1,0,450.0
2020-02-13,N,apartment,A,3,1,1,1,110.0,0,0,0,150.0
2020-02-13,T,apartment,C,3,2,1,2,120.0,1,0,0,3525.0
2020-02-13,N,apartment,A,1,1,1,1,40.0,1,1,0,450.0
2020-02-13,RB,apartment,A,1,1,1,1,,0,0,0,450.0
2020-02-13,RB,apartment,A,2,1,1,1,150.0,0,1,0,750.0
2020-02-13,RB,apartment,B,3,3,1,1,,1,1,0,500.0
2020-02-13,B,apartment,A,2,2,1,2,145.0,0,1,0,810.0
2020-02-13,RB,apartment,B,2,2,1,1,110.0,1,1,0,400.0
2020-02-13,RB,apartment,A,2,2,1,1,150.0,1,1,1,600.0
2020-02-13,RB,apartment,A,1,1,1,1,,1,1,1,550.0
2020-02-13,RB,apartment,B,3,3,1,1,160.0,1,1,1,600.0
2020-02-13,RB,apartment,B,3,2,1,1,140.0,1,1,1,5009.0
2020-02-24,B,apartment,A,1,1,0,0,25.0,1,1,1,300.0
2020-02-15,JN,apartment,B,2,1,1,1,80.0,0,1,1,300.0
2020-02-19,RB,apartment,A,1,1,0,1,26.0,1,1,0,360.0
2020-02-15,RB,apartment,A,3,2,1,1,170.0,1,1,1,700.0
2020-02-15,RB,apartment,B,1,1,1,1,0.0,0,0,0,450.0
2020-02-15,N,apartment,A,2,1,1,1,100.0,1,1,0,540.0
2020-02-15,RB,apartment,A,3,3,1,3,215.0,1,1,1,850.0
2020-02-15,RB,apartment,A,2,2,1,1,100.0,1,1,1,1000.0
2020-02-15,RB,apartment,B,2,1,1,1,80.0,1,1,0,360.0
2020-02-17,B,apartment,A,3,2,1,2,145.0,0,1,0,750.0
2020-02-20,RB,apartment,B,3,2,1,1,140.0,0,0,0,390.0
2020-02-18,RB,apartment,B,2,2,1,2,130.0,1,1,0,240.0
2020-02-15,RB,apartment,B,3,3,1,1,170.0,0,1,0,1000.0
2020-02-15,RB,apartment,B,3,2,1,1,160.0,1,1,0,600.0
2020-02-15,RB,apartment,A,1,1,1,0,,1,0,0,450.0
2020-02-15,B,apartment,A,1,1,1,0,25.0,1,1,1,300.0
2020-02-19,RB,apartment,C,3,3,1,1,155.0,1,1,1,600.0
2020-02-15,N,apartment,A,1,1,1,1,60.0,1,1,1,450.0
2020-02-15,RB,apartment,A,1,1,1,0,50.0,1,1,1,550.0
2020-02-15,RB,apartment,A,2,2,1,1,145.0,0,1,0,600.0
2020-02-15,JN,apartment,B,4,3,1,2,166.0,0,0,0,300.0
2020-02-15,RB,apartment,A,1,1,1,0,,1,0,0,450.0
2020-02-15,JN,apartment,B,4,2,1,1,155.0,1,0,0,510.0
2020-02-15,RB,apartment,B,3,2,1,1,,0,0,0,390.0
