date,houseId,category,city,address,houseType,status,numberRooms,numberBathrooms,numberKitchens,numberBalconies,loungeType,houseSpace,landArea,elevator,carParking,heating,price,priceType
2020-02-01 ,240150,للبيع,بيت لحم, -  مدينة بيت لحم,شقة,مفروشة ,غرفتين ,2 , ,2 , ,136, ,نعم ,نعم , ,140000,دولار
2020-06-23 ,240151,للبيع,رام الله والبيرة, -  مدينة رام الله,شقة,مشطب ,ثلاث غرف ,2 ,1 ,0 ,نعم ,137, ,نعم ,نعم , ,96000,دولار
2020-02-01 ,240152,للبيع,نابلس, -  مدينة نابلس,شقة,مشطب ,اربع غرف ,2 ,1 ,1 ,١ ,150, ,نعم ,نعم , ,75000,شيكل
2020-02-01 ,240154,للايجار,رام الله والبيرة, -  مدينة البيرة,شقة,غير مفروشة ,ثلاث غرف ,3 ,1 ,1 ,2صاله ,155,0,نعم ,نعم , ,550,دولار
2020-02-05 ,240155,للبيع,رام الله والبيرة, - الطيرة,شقة,مشطب ,ثلاث غرف ,3 ,1 ,1 ,صالون  وسفره ,176, ,نعم ,نعم , ,130000,دولار
2020-02-01 ,240156,للبيع,بيت لحم, - ارطاس,شقة,مشطب ,ثلاث غرف ,2 ,1 ,1 ,يوجد صالة كبيرة وصالون  ,140, , ,نعم , ,60000,دينار
2020-06-29 ,240157,للبيع,رام الله والبيرة, -  مدينة البيرة,شقة,مشطب ,ثلاث غرف ,3 ,1 ,1 ,صالون  وسفره ,236, ,نعم ,نعم , ,185000,دولار
2020-02-01 ,240158,منفصل,رام الله والبيرة, -  مدينة البيرة,منزل,غير مفروشة ,غرفتين ,1 ,1 ,1 ,بلكونة ,80, , , , ,800,شيكل
2020-02-01 ,240159,للايجار,رام الله والبيرة, -  مدينة رام الله,شقة,غير مفروشة ,غرفة واحدة - ستوديو ,1 , , , ,20, ,نعم ,نعم , ,600,شيكل
2020-02-02 ,240160,للبيع,اريحا, - عين السلطان,شقة,مشطب ,ثلاث غرف ,2 ,1 ,2 ,نعم يوجد صالة ,135,135, ,نعم , ,38000,دينار
2020-02-01 ,240161,للبيع,رام الله والبيرة, -  مدينة رام الله,شقة,غير مفروشة ,ثلاث غرف ,2 ,1 ,1 ,1 ,125, ,نعم ,نعم ,نعم ,105000,دولار
2020-02-01 ,240162,للبيع,رام الله والبيرة, -  مدينة رام الله,شقة,غير مفروشة ,ثلاث غرف ,3 ,1 ,2 ,1 ,175, ,نعم ,نعم ,نعم ,160000,دولار
