,houseSpace,PriceType_JOD,PriceType_NIS,PriceType_USD,price
951,140.0,0,0,1,350
952,140.0,0,0,1,800
953,1,1,0,0,3000
954,155,0,1,0,1700
955,140.0,0,1,0,1500
956,145,0,0,1,600
957,140,0,0,1,500
958,160,0,0,1,750
959,140.0,0,1,0,1100
960,140.0,0,1,0,1800
961,140.0,0,0,1,350
962,155,0,0,1,600
963,155,0,0,1,500
964,90,0,0,1,550
965,170,0,0,1,1000
966,140.0,0,1,0,300
967,140.0,1,0,0,2000
968,140.0,1,0,0,2500
969,100,0,1,0,1500
970,140,0,0,1,400
971,150,0,0,1,600
972,180,0,1,0,3200
973,120,0,0,1,600
974,140.0,0,1,0,2000
975,140.0,0,1,0,1000
976,130,0,1,0,900
977,300,0,0,1,1400
978,100,0,1,0,1000
979,140.0,0,0,1,500
980,135,0,0,1,500
981,140.0,0,0,1,450
982,145,0,0,1,600
983,110,0,0,1,500
984,160,0,0,1,750
985,140.0,0,0,1,350
986,120,1,0,0,2800
987,145,0,1,0,2800
988,175,1,0,0,3500
989,0,0,1,0,200
990,140.0,0,1,0,400
991,90,1,0,0,1600
992,120,0,1,0,1500
993,145,0,0,1,550
994,140.0,0,1,0,350
995,150,0,0,1,600
996,135,0,1,0,2200
997,140.0,0,1,0,900
998,100,0,1,0,1500
999,100,0,1,0,1100
1000,100,0,0,1,550
1001,150,0,1,0,1500
1002,60,0,0,1,500
1003,100,0,0,1,500
1004,180,0,0,1,550
1005,170,0,0,1,950
1006,165,1,0,0,350
1007,140.0,0,0,1,500
1008,180,0,0,1,800
1009,140.0,0,0,1,450
1010,140.0,0,0,1,400
1011,120,0,1,0,2300
1012,160,0,0,1,600
1013,215,0,0,1,750
1014,170,0,0,1,650
1015,145,0,0,1,750
1016,160,0,0,1,700
1017,140.0,0,1,0,1400
1018,140,0,1,0,1000
1019,155,0,1,0,700
1020,140.0,0,1,0,1400
1021,140.0,0,0,1,800
1022,120,0,0,1,450
1023,70,0,0,1,550
1024,140.0,0,1,0,400
1025,100,0,0,1,450
1026,85,0,0,1,450
1027,140.0,0,0,1,450
1028,155,0,0,1,800
1029,140.0,0,0,1,750
1030,140.0,0,0,1,500
1031,80,0,1,0,1000
1032,180,0,0,1,700
1033,140.0,0,0,1,350
1034,180,0,0,1,1000
1035,140,0,0,1,600
1036,140.0,0,1,0,1200
1037,100,1,0,0,3000
1038,160,0,0,1,900
1039,20,0,1,0,1200
1040,130,0,1,0,1200
1041,130,0,1,0,1500
1042,100,0,0,1,600
1043,160,1,0,0,3500
1044,120,0,0,1,500
1045,21,0,1,0,1200
1046,140.0,0,0,1,550
1047,50,0,0,1,350
1048,160,0,0,1,600
1049,160,0,0,1,500
1050,150,0,0,1,900
1051,110,0,0,1,550
1052,16,0,1,0,550
1053,140.0,0,1,0,900
1054,60,0,0,1,500
1055,140,0,1,0,1600
1056,140.0,0,1,0,1300
1057,140.0,0,1,0,1100
1058,140.0,0,1,0,1500
1059,100,0,1,0,1200
1060,32,0,1,0,1000
1061,100,0,1,0,1250
1062,110,0,1,0,1400
1063,140,0,0,1,100
1064,140.0,0,1,0,1800
1065,100,0,1,0,1700
