date,city,status,numberRooms,numberBathrooms,numberBalconies,elevator,carParking,heating,houseSpace,PriceType_JOD,PriceType_NIS,PriceType_USD,featurePlus,status_A,status_B,status_C,status_D,status_E,city_B,city_H,city_J,city_JN,city_JR,city_N,city_Q,city_RB,city_S,city_T,city_TB,MedstatusHouseSpace,city_encoded,price
2020-02-02,1,2,3,3,3,1,1,0,180.0,0,0,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,750
2020-02-02,1,1,3,2,1,1,1,0,200.0,0,1,0,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,450
2020-02-02,2,1,3,2,2,0,1,0,145.0,0,1,0,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,140.0,2954.5204006236395,2500
2020-02-02,3,2,3,2,2,1,1,0,140.0,1,0,0,0.6666666666666666,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,140.0,4419.044863120856,300
2020-02-02,4,3,2,2,0,0,0,0,100.0,0,1,0,1.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,140.0,5829.75481655339,600
2020-02-02,1,2,1,1,0,0,0,0,20.0,0,0,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,200
2020-02-02,1,1,2,2,1,1,1,0,140.0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,600
2020-02-02,3,1,3,2,3,0,1,0,190.0,0,1,0,0.6666666666666666,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,140.0,4419.044863120856,1800
2020-02-02,1,2,3,3,1,1,1,0,170.0,0,0,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,700
2020-02-02,1,2,3,2,0,1,1,0,140.0,0,0,1,0.6666666666666666,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,500
2020-02-02,1,1,3,1,0,1,1,0,100.0,0,0,1,0.3333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,700
2020-02-02,1,2,3,1,2,0,0,0,140.0,1,0,0,0.3333333333333333,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,280
2020-02-02,1,1,1,1,0,0,0,0,110.0,0,1,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,1000
2020-02-02,1,2,3,2,2,0,1,1,160.0,0,0,1,0.6666666666666666,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,550
2020-02-04,4,2,2,1,0,0,0,0,100.0,0,1,0,0.5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,140.0,5829.75481655339,600
2020-02-02,1,2,2,2,1,1,1,0,135.0,0,1,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,1200
2020-02-03,1,2,3,2,0,0,0,0,140.0,0,1,0,0.6666666666666666,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,1450
2020-02-02,1,2,2,2,2,0,1,1,150.0,0,0,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,500
2020-02-04,1,2,1,1,0,0,0,0,140.0,0,1,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,1100
2020-02-02,1,2,3,2,1,1,1,0,160.0,0,0,1,0.6666666666666666,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,500
2020-02-02,1,2,3,2,1,1,1,0,160.0,0,0,1,0.6666666666666666,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,500
2020-02-04,1,1,3,2,1,1,1,0,160.0,0,0,1,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,600
2020-02-02,1,1,3,3,1,1,1,1,180.0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,1100
2020-02-02,1,1,1,1,0,0,0,0,140.0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,350
2020-02-02,1,1,3,3,1,1,1,0,180.0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,700
2020-02-02,1,2,3,3,1,1,1,1,160.0,0,0,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,600
2020-02-02,1,2,2,2,1,0,1,0,110.0,0,0,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,400
2020-02-02,1,1,1,1,1,1,1,0,140.0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,550
2020-02-02,1,1,2,1,1,0,1,0,120.0,0,1,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,1500
2020-02-03,3,1,1,1,0,1,1,1,25.0,0,1,0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,140.0,4419.044863120856,1000
2020-02-03,4,3,3,2,2,1,1,0,170.0,1,0,0,0.6666666666666666,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,140.0,5829.75481655339,4000
2020-02-03,1,1,1,1,2,1,1,1,70.0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,550
2020-02-03,1,1,3,2,0,1,1,0,115.0,0,1,0,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,1800
2020-03-02,1,1,1,1,1,0,0,0,140.0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,500
2020-02-03,3,2,3,3,1,0,0,0,150.0,0,1,0,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,140.0,4419.044863120856,2000
2020-02-03,1,1,3,3,2,1,1,1,180.0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,950
2020-02-03,1,1,3,3,2,1,1,1,190.0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,1000
